Country,Lat,Long,Date,Confirmed_cases,Dead,Recovered,Daily_case
Benin,9.3077,2.3158,2020-03-17,1,0,0,0
Benin,9.3077,2.3158,2020-03-18,2,0,0,1
Benin,9.3077,2.3158,2020-03-19,2,0,0,0
Benin,9.3077,2.3158,2020-03-20,2,0,0,0
Benin,9.3077,2.3158,2020-03-21,2,0,0,0
Benin,9.3077,2.3158,2020-03-22,2,0,0,0
Benin,9.3077,2.3158,2020-03-23,5,0,0,3
Benin,9.3077,2.3158,2020-03-24,6,0,0,1
Benin,9.3077,2.3158,2020-03-25,6,0,0,0
Benin,9.3077,2.3158,2020-03-26,6,0,0,0
Benin,9.3077,2.3158,2020-03-27,6,0,0,0
Benin,9.3077,2.3158,2020-03-28,6,0,0,0
Benin,9.3077,2.3158,2020-03-29,6,0,0,0
Benin,9.3077,2.3158,2020-03-30,6,0,0,0
Benin,9.3077,2.3158,2020-03-31,9,0,1,3
Benin,9.3077,2.3158,2020-04-01,13,0,1,4
Benin,9.3077,2.3158,2020-04-02,13,0,1,0
Benin,9.3077,2.3158,2020-04-03,16,0,2,3
Benin,9.3077,2.3158,2020-04-04,16,0,2,0
Benin,9.3077,2.3158,2020-04-05,22,0,5,6
Benin,9.3077,2.3158,2020-04-06,26,1,5,4
Benin,9.3077,2.3158,2020-04-07,26,1,5,0
Benin,9.3077,2.3158,2020-04-08,26,1,5,0
Benin,9.3077,2.3158,2020-04-09,26,1,5,0
Benin,9.3077,2.3158,2020-04-10,35,1,5,9
Benin,9.3077,2.3158,2020-04-11,35,1,5,0
Benin,9.3077,2.3158,2020-04-12,35,1,5,0
Benin,9.3077,2.3158,2020-04-13,35,1,5,0
Benin,9.3077,2.3158,2020-04-14,35,1,18,0
Benin,9.3077,2.3158,2020-04-15,35,1,18,0
Benin,9.3077,2.3158,2020-04-16,35,1,18,0
Benin,9.3077,2.3158,2020-04-17,35,1,18,0
Benin,9.3077,2.3158,2020-04-18,35,1,18,0
Benin,9.3077,2.3158,2020-04-19,35,1,18,0
Benin,9.3077,2.3158,2020-04-20,54,1,27,19
Benin,9.3077,2.3158,2020-04-21,54,1,27,0
Benin,9.3077,2.3158,2020-04-22,54,1,27,0
Benin,9.3077,2.3158,2020-04-23,54,1,27,0
Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-23,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-24,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-25,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-26,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-27,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-28,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-29,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-30,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-01-31,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-01,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-02,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-03,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-04,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-05,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-06,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-07,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-08,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-09,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-10,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-11,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-12,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-13,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-14,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-15,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-16,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-17,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-18,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-19,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-20,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-21,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-22,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-23,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-24,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-25,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-26,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-27,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-28,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-02-29,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-01,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-02,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-03,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-04,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-05,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-06,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-07,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-08,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-09,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-10,0,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-11,1,0,0,1
Cote d'Ivoire,7.54,-5.5471,2020-03-12,1,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-13,1,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-14,1,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-15,1,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-16,1,0,0,0
Cote d'Ivoire,7.54,-5.5471,2020-03-17,5,0,1,4
Cote d'Ivoire,7.54,-5.5471,2020-03-18,6,0,1,1
Cote d'Ivoire,7.54,-5.5471,2020-03-19,9,0,1,3
Cote d'Ivoire,7.54,-5.5471,2020-03-20,9,0,1,0
Cote d'Ivoire,7.54,-5.5471,2020-03-21,14,0,1,5
Cote d'Ivoire,7.54,-5.5471,2020-03-22,14,0,1,0
Cote d'Ivoire,7.54,-5.5471,2020-03-23,25,0,1,11
Cote d'Ivoire,7.54,-5.5471,2020-03-24,73,0,2,48
Cote d'Ivoire,7.54,-5.5471,2020-03-25,80,0,3,7
Cote d'Ivoire,7.54,-5.5471,2020-03-26,96,0,3,16
Cote d'Ivoire,7.54,-5.5471,2020-03-27,101,0,3,5
Cote d'Ivoire,7.54,-5.5471,2020-03-28,101,0,3,0
Cote d'Ivoire,7.54,-5.5471,2020-03-29,165,1,4,64
Cote d'Ivoire,7.54,-5.5471,2020-03-30,168,1,6,3
Cote d'Ivoire,7.54,-5.5471,2020-03-31,179,1,7,11
Cote d'Ivoire,7.54,-5.5471,2020-04-01,190,1,9,11
Cote d'Ivoire,7.54,-5.5471,2020-04-02,194,1,15,4
Cote d'Ivoire,7.54,-5.5471,2020-04-03,218,1,19,24
Cote d'Ivoire,7.54,-5.5471,2020-04-04,245,1,25,27
Cote d'Ivoire,7.54,-5.5471,2020-04-05,261,3,37,16
Cote d'Ivoire,7.54,-5.5471,2020-04-06,323,3,41,62
Cote d'Ivoire,7.54,-5.5471,2020-04-07,349,3,41,26
Cote d'Ivoire,7.54,-5.5471,2020-04-08,384,3,48,35
Cote d'Ivoire,7.54,-5.5471,2020-04-09,444,3,52,60
Cote d'Ivoire,7.54,-5.5471,2020-04-10,444,3,52,0
Cote d'Ivoire,7.54,-5.5471,2020-04-11,533,4,58,89
Cote d'Ivoire,7.54,-5.5471,2020-04-12,574,5,85,41
Cote d'Ivoire,7.54,-5.5471,2020-04-13,626,6,89,52
Cote d'Ivoire,7.54,-5.5471,2020-04-14,638,6,114,12
Cote d'Ivoire,7.54,-5.5471,2020-04-15,638,6,114,0
Cote d'Ivoire,7.54,-5.5471,2020-04-16,654,6,146,16
Cote d'Ivoire,7.54,-5.5471,2020-04-17,688,6,193,34
Cote d'Ivoire,7.54,-5.5471,2020-04-18,801,8,239,113
Cote d'Ivoire,7.54,-5.5471,2020-04-19,847,9,260,46
Cote d'Ivoire,7.54,-5.5471,2020-04-20,847,9,260,0
Cote d'Ivoire,7.54,-5.5471,2020-04-21,916,13,303,69
Cote d'Ivoire,7.54,-5.5471,2020-04-22,952,14,310,36
Cote d'Ivoire,7.54,-5.5471,2020-04-23,1004,14,359,52
Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-23,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-24,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-25,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-26,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-27,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-28,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-29,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-30,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-01-31,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-01,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-02,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-03,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-04,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-05,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-06,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-07,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-08,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-09,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-10,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-11,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-12,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-13,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-14,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-15,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-16,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-17,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-18,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-19,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-20,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-21,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-22,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-23,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-24,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-25,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-26,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-27,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-28,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-02-29,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-01,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-02,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-03,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-04,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-05,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-06,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-07,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-08,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-09,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-10,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-11,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-12,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-13,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-14,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-15,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-16,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-17,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-18,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-19,0,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-20,1,0,0,1
Cabo Verde,16.5388,-23.0418,2020-03-21,3,0,0,2
Cabo Verde,16.5388,-23.0418,2020-03-22,3,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-23,3,0,0,0
Cabo Verde,16.5388,-23.0418,2020-03-24,3,1,0,0
Cabo Verde,16.5388,-23.0418,2020-03-25,4,1,0,1
Cabo Verde,16.5388,-23.0418,2020-03-26,4,1,0,0
Cabo Verde,16.5388,-23.0418,2020-03-27,5,1,0,1
Cabo Verde,16.5388,-23.0418,2020-03-28,5,1,0,0
Cabo Verde,16.5388,-23.0418,2020-03-29,6,1,0,1
Cabo Verde,16.5388,-23.0418,2020-03-30,6,1,0,0
Cabo Verde,16.5388,-23.0418,2020-03-31,6,1,0,0
Cabo Verde,16.5388,-23.0418,2020-04-01,6,1,0,0
Cabo Verde,16.5388,-23.0418,2020-04-02,6,1,0,0
Cabo Verde,16.5388,-23.0418,2020-04-03,6,1,0,0
Cabo Verde,16.5388,-23.0418,2020-04-04,7,1,0,1
Cabo Verde,16.5388,-23.0418,2020-04-05,7,1,0,0
Cabo Verde,16.5388,-23.0418,2020-04-06,7,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-07,7,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-08,7,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-09,7,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-10,7,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-11,8,1,1,1
Cabo Verde,16.5388,-23.0418,2020-04-12,8,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-13,10,1,1,2
Cabo Verde,16.5388,-23.0418,2020-04-14,11,1,1,1
Cabo Verde,16.5388,-23.0418,2020-04-15,56,1,1,45
Cabo Verde,16.5388,-23.0418,2020-04-16,56,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-17,56,1,1,0
Cabo Verde,16.5388,-23.0418,2020-04-18,58,1,1,2
Cabo Verde,16.5388,-23.0418,2020-04-19,61,1,1,3
Cabo Verde,16.5388,-23.0418,2020-04-20,67,1,1,6
Cabo Verde,16.5388,-23.0418,2020-04-21,68,1,1,1
Cabo Verde,16.5388,-23.0418,2020-04-22,73,1,1,5
Cabo Verde,16.5388,-23.0418,2020-04-23,82,1,1,9
Ghana,7.9465,-1.0232,2020-01-22,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-23,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-24,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-25,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-26,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-27,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-28,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-29,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-30,0,0,0,0
Ghana,7.9465,-1.0232,2020-01-31,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-01,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-02,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-03,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-04,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-05,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-06,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-07,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-08,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-09,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-10,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-11,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-12,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-13,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-14,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-15,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-16,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-17,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-18,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-19,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-20,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-21,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-22,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-23,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-24,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-25,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-26,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-27,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-28,0,0,0,0
Ghana,7.9465,-1.0232,2020-02-29,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-01,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-02,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-03,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-04,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-05,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-06,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-07,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-08,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-09,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-10,0,0,0,0
Ghana,7.9465,-1.0232,2020-03-11,0,0,0,0
